aalib 1.4rc5-10
serf 1.3.7-1
shadow 4.2.1-1
shared-color-targets 0.1.2-1
shared-mime-info 1.3-1
slang 2.2.4-3
smbclient 4.1.14-2
snappy 1.1.1-1
sound-theme-freedesktop 0.8-2
soundtouch 1.8.0-1
spandsp 0.0.6pre21-2
speech-dispatcher 0.8.1-1
speex 1.2rc1-4
sqlite 3.8.7.4-1
startup-notification 0.12-4
subversion 1.8.11-2
sudo 1.8.11.p2-1
sushi 3.12.0-2
sysfsutils 2.1.0-9
systemd 218-1
systemd-sysvcompat 218-1
t1lib 5.1.2-5
taglib 1.9.1-1
talloc 2.1.1-1
tar 1.28-1
tdb 1.3.2-1
telepathy-farstream 0.6.2-1
telepathy-gabble 0.18.3-1
telepathy-glib 0.24.0-1
telepathy-logger 0.8.1-1
telepathy-mission-control 5.16.2-1
tevent 0.9.22-1
texinfo 5.2-3
thin-provisioning-tools 0.4.1-1
thunderbird 31.3.0-1
thunderbird-i18n-de 31.3.0-1
thunderbird-i18n-en-us 31.3.0-1
totem 3.14.1-1
totem-plparser 3.10.3-1
tracker 1.2.5-1
ttf-dejavu 2.34-1
tzdata 2014j-1
udisks2 2.1.3-1
unixodbc 2.3.2-1
unzip 6.0-7
upower 0.99.2-1
usbmuxd 1.1.0-1
usbutils 008-1
util-linux 2.25.2-1
v4l-utils 1.6.0-1
vi 1:050325-4
videoproto 2.3.2-1
vim 7.4.560-1
vim-runtime 7.4.560-1
vino 3.14.1-1
vte-common 0.38.3-1
vte3 0.38.3-1
wavpack 4.70.0-2
wayland 1.6.0-1
webkit2gtk 2.6.4-1
webkitgtk 2.4.7-1
webrtc-audio-processing 0.1-2
which 2.20-7
wildmidi 0.3.7-1
wireless_tools 30.pre9-1
wpa_actiond 1.4-2
wpa_supplicant 2.3-1
x264 1:142.20140826-2
x265 1.4-1
xbitmaps 1.1.1-3
xcb-proto 1.11-1
xcb-util 0.4.0-1
xcb-util-cursor 0.1.1-1
xcb-util-image 0.4.0-1
xcb-util-keysyms 0.4.0-1
xcb-util-renderutil 0.3.9-1
xcb-util-wm 0.4.1-1
xdg-user-dirs 0.15-1
xdg-user-dirs-gtk 0.10-2
xdg-utils 1.1.0.git20141009-1
xextproto 7.3.0-1
xf86-input-evdev 2.9.1-1
xf86-input-synaptics 1.8.1-1
xf86-video-intel 2.99.917-1
xf86vidmodeproto 2.3.1-3
xfsprogs 3.2.2-1
xineramaproto 1.2.1-3
xkeyboard-config 2.13-1
xmlto 0.0.26-1
xorg-bdftopcf 1.0.5-1
xorg-font-util 1.3.0-2
xorg-font-utils 7.6-4
xorg-fonts-alias 1.0.3-1
xorg-fonts-encodings 1.0.4-4
xorg-fonts-misc 1.0.3-2
xorg-fonts-type1 7.7-1
xorg-iceauth 1.0.6-1
xorg-luit 1.1.1-2
xorg-mkfontdir 1.0.7-2
xorg-mkfontscale 1.1.1-1
xorg-server 1.16.3-2
xorg-server-common 1.16.3-2
xorg-server-utils 7.6-4
xorg-sessreg 1.0.8-2
xorg-setxkbmap 1.3.0-2
xorg-twm 1.0.8-3
xorg-xauth 1.0.9-1
xorg-xbacklight 1.2.1-1
xorg-xclock 1.0.7-1
xorg-xcmsdb 1.0.4-2
xorg-xgamma 1.0.5-2
xorg-xhost 1.0.6-1
xorg-xinit 1.3.4-1
xorg-xinput 1.6.1-1
xorg-xkbcomp 1.3.0-1
xorg-xmodmap 1.0.8-1
xorg-xrandr 1.4.3-1
xorg-xrdb 1.1.0-1
xorg-xrefresh 1.0.5-1
xorg-xset 1.2.3-1
xorg-xsetroot 1.1.1-2
xproto 7.0.27-1
xterm 314-1
xvidcore 1.3.3-1
xz 5.0.7-1
yajl 2.1.0-1
yelp 3.14.1-1
yelp-xsl 3.14.0-1
zeitgeist 0.9.15-1
zenity 3.14.0-1
zita-alsa-pcmi 0.2.0-2
zita-resampler 1.3.0-3
zlib 1.2.8-3
